timestamp,approach,turn,length_ft,speed_mph,phase,light,seconds_of_light_state,seconds_since_green,recent_free_flow_speed_mph,calibration_free_flow_speed_mph,include_in_approach_data,zone_id
20210213T003528.3,E,S,11,0,2,G,77.80,0.00,24,25,1,2217bc97870244759f8eba861db01001
20210213T003534.1,E,S,14,2,2,G,83.58,0.00,24,25,1,2217bc97870244759f8eba861db01001
20210213T072713.5,E,S,11,20,2,G,140.69,0.00,25,25,1,2217bc97870244759f8eba861db01001
20210213T074052.9,E,S,11,0,2,G,0.10,0.00,25,25,1,2217bc97870244759f8eba861db01001
20210213T103138.7,E,S,20,6,2,G,4.31,0.00,25,25,1,2217bc97870244759f8eba861db01001
20210213T103823.7,E,S,11,22,2,G,11.28,0.00,25,25,1,2217bc97870244759f8eba861db01001
20210213T111552.3,E,R,11,13,2,G,99.46,0.00,25,25,1,2217bc97870244759f8eba861db01001
20210213T120917.8,E,S,27,32,2,G,25.26,0.00,25,25,1,2217bc97870244759f8eba861db01001
20210213T122906.4,E,S,11,31,2,G,8.82,0.00,25,25,1,2217bc97870244759f8eba861db01001
20210213T123944.6,E,S,19,23,2,G,12.16,0.00,25,25,1,2217bc97870244759f8eba861db01001
20210213T132316.1,E,S,11,12,2,G,63.28,0.00,25,25,1,2217bc97870244759f8eba861db01001
20210213T150104.4,E,S,11,11,2,G,6.80,0.00,25,25,1,2217bc97870244759f8eba861db01001
20210213T153054.4,E,S,6,24,2,G,121.32,0.00,25,25,1,2217bc97870244759f8eba861db01001
20210213T155144.3,E,S,6,20,2,G,10.31,0.00,25,25,1,2217bc97870244759f8eba861db01001
20210213T163744.4,E,S,6,24,2,G,7.82,0.00,25,25,1,2217bc97870244759f8eba861db01001
20210213T165816.3,E,S,6,8,2,G,8.23,0.00,25,25,1,2217bc97870244759f8eba861db01001
20210213T170458.1,E,S,17,10,2,G,16.03,0.00,25,25,1,2217bc97870244759f8eba861db01001
20210213T182351.9,E,S,14,14,2,G,7.80,0.00,25,25,1,2217bc97870244759f8eba861db01001
20210213T183409.1,E,S,13,15,2,G,16.14,0.00,25,25,1,2217bc97870244759f8eba861db01001
20210213T193700.3,E,S,11,13,2,G,8.75,0.00,25,25,1,2217bc97870244759f8eba861db01001
20210213T200721.5,E,S,11,23,2,G,48.76,0.00,25,25,1,2217bc97870244759f8eba861db01001
20210213T211458.3,E,S,11,25,2,G,41.19,0.00,25,25,1,2217bc97870244759f8eba861db01001
20210213T221830.6,E,S,11,28,2,G,0.69,0.00,25,25,1,2217bc97870244759f8eba861db01001
20210213T003205.9,W,S,11,0,2,G,1.99,0.00,23,19,1,2946dd5061f14736b864dcf9c4c783b3
20210213T003959.2,W,S,11,6,2,G,124.47,0.00,23,19,1,2946dd5061f14736b864dcf9c4c783b3
20210213T011727.3,W,S,11,30,2,G,114.73,0.00,23,19,1,2946dd5061f14736b864dcf9c4c783b3
